sepal_length,sepal_width,petal_length,petal_width,class
8.0,21.0,3.0,2.0,Iris-setosa
6.0,14.0,3.0,2.0,Iris-setosa
4.0,17.0,2.0,2.0,Iris-setosa
3.0,15.0,3.0,2.0,Iris-setosa
7.0,22.0,3.0,2.0,Iris-setosa
10.0,26.0,4.0,5.0,Iris-setosa
3.0,19.0,3.0,3.0,Iris-setosa
7.0,19.0,3.0,2.0,Iris-setosa
1.0,12.0,3.0,2.0,Iris-setosa
6.0,15.0,3.0,1.0,Iris-setosa
10.0,23.0,3.0,2.0,Iris-setosa
5.0,19.0,4.0,2.0,Iris-setosa
5.0,14.0,3.0,1.0,Iris-setosa
1.0,14.0,1.0,1.0,Iris-setosa
14.0,27.0,2.0,2.0,Iris-setosa
13.0,32.0,3.0,5.0,Iris-setosa
10.0,26.0,2.0,5.0,Iris-setosa
8.0,21.0,3.0,3.0,Iris-setosa
13.0,24.0,4.0,3.0,Iris-setosa
8.0,24.0,3.0,3.0,Iris-setosa
10.0,19.0,4.0,2.0,Iris-setosa
8.0,23.0,3.0,5.0,Iris-setosa
3.0,22.0,1.0,2.0,Iris-setosa
8.0,18.0,4.0,6.0,Iris-setosa
5.0,19.0,5.0,2.0,Iris-setosa
7.0,14.0,4.0,2.0,Iris-setosa
7.0,19.0,4.0,5.0,Iris-setosa
9.0,21.0,3.0,2.0,Iris-setosa
9.0,19.0,3.0,2.0,Iris-setosa
4.0,17.0,4.0,2.0,Iris-setosa
5.0,15.0,4.0,2.0,Iris-setosa
10.0,19.0,3.0,5.0,Iris-setosa
9.0,28.0,3.0,1.0,Iris-setosa
11.0,30.0,3.0,2.0,Iris-setosa
6.0,15.0,3.0,1.0,Iris-setosa
7.0,17.0,2.0,2.0,Iris-setosa
11.0,21.0,2.0,2.0,Iris-setosa
6.0,15.0,3.0,1.0,Iris-setosa
1.0,14.0,2.0,2.0,Iris-setosa
8.0,19.0,3.0,2.0,Iris-setosa
7.0,21.0,2.0,3.0,Iris-setosa
2.0,5.0,2.0,3.0,Iris-setosa
1.0,17.0,2.0,2.0,Iris-setosa
7.0,21.0,4.0,7.0,Iris-setosa
8.0,24.0,5.0,5.0,Iris-setosa
5.0,14.0,3.0,3.0,Iris-setosa
8.0,24.0,4.0,2.0,Iris-setosa
3.0,17.0,3.0,2.0,Iris-setosa
9.0,23.0,3.0,2.0,Iris-setosa
7.0,18.0,3.0,2.0,Iris-setosa
25.0,17.0,21.0,18.0,Iris-versicolor
19.0,17.0,19.0,19.0,Iris-versicolor
24.0,15.0,22.0,19.0,Iris-versicolor
11.0,5.0,17.0,17.0,Iris-versicolor
20.0,11.0,20.0,19.0,Iris-versicolor
13.0,11.0,19.0,17.0,Iris-versicolor
18.0,18.0,21.0,21.0,Iris-versicolor
6.0,6.0,13.0,13.0,Iris-versicolor
21.0,12.0,20.0,17.0,Iris-versicolor
9.0,10.0,16.0,18.0,Iris-versicolor
7.0,1.0,14.0,13.0,Iris-versicolor
15.0,14.0,18.0,19.0,Iris-versicolor
16.0,3.0,17.0,13.0,Iris-versicolor
17.0,12.0,21.0,18.0,Iris-versicolor
12.0,12.0,15.0,17.0,Iris-versicolor
22.0,15.0,19.0,18.0,Iris-versicolor
12.0,14.0,19.0,19.0,Iris-versicolor
14.0,10.0,17.0,13.0,Iris-versicolor
17.0,3.0,19.0,19.0,Iris-versicolor
12.0,7.0,16.0,14.0,Iris-versicolor
15.0,17.0,21.0,23.0,Iris-versicolor
17.0,11.0,17.0,17.0,Iris-versicolor
18.0,7.0,22.0,19.0,Iris-versicolor
17.0,11.0,21.0,15.0,Iris-versicolor
19.0,12.0,18.0,17.0,Iris-versicolor
21.0,14.0,19.0,18.0,Iris-versicolor
23.0,11.0,21.0,18.0,Iris-versicolor
22.0,14.0,22.0,22.0,Iris-versicolor
16.0,12.0,19.0,19.0,Iris-versicolor
13.0,9.0,14.0,13.0,Iris-versicolor
11.0,6.0,16.0,14.0,Iris-versicolor
11.0,6.0,15.0,13.0,Iris-versicolor
14.0,10.0,16.0,15.0,Iris-versicolor
16.0,10.0,23.0,21.0,Iris-versicolor
10.0,14.0,19.0,19.0,Iris-versicolor
16.0,19.0,19.0,21.0,Iris-versicolor
22.0,15.0,21.0,19.0,Iris-versicolor
18.0,5.0,19.0,17.0,Iris-versicolor
12.0,14.0,17.0,17.0,Iris-versicolor
11.0,7.0,17.0,17.0,Iris-versicolor
11.0,9.0,19.0,15.0,Iris-versicolor
17.0,14.0,20.0,18.0,Iris-versicolor
14.0,9.0,17.0,15.0,Iris-versicolor
7.0,5.0,13.0,13.0,Iris-versicolor
12.0,10.0,18.0,17.0,Iris-versicolor
13.0,14.0,18.0,15.0,Iris-versicolor
13.0,12.0,18.0,17.0,Iris-versicolor
17.0,12.0,18.0,17.0,Iris-versicolor
8.0,7.0,11.0,14.0,Iris-versicolor
13.0,11.0,17.0,17.0,Iris-versicolor
18.0,18.0,28.0,32.0,Iris-virginica
14.0,10.0,23.0,25.0,Iris-virginica
25.0,14.0,27.0,27.0,Iris-virginica
18.0,12.0,25.0,23.0,Iris-virginica
20.0,14.0,27.0,29.0,Iris-virginica
30.0,14.0,31.0,27.0,Iris-virginica
6.0,7.0,19.0,22.0,Iris-virginica
27.0,12.0,29.0,23.0,Iris-virginica
22.0,7.0,27.0,23.0,Iris-virginica
26.0,22.0,28.0,32.0,Iris-virginica
20.0,17.0,23.0,26.0,Iris-virginica
19.0,10.0,24.0,25.0,Iris-virginica
23.0,14.0,25.0,27.0,Iris-virginica
13.0,7.0,22.0,26.0,Iris-virginica
14.0,11.0,23.0,31.0,Iris-virginica
19.0,17.0,24.0,30.0,Iris-virginica
20.0,14.0,25.0,23.0,Iris-virginica
31.0,24.0,31.0,29.0,Iris-virginica
31.0,9.0,32.0,30.0,Iris-virginica
16.0,3.0,22.0,19.0,Iris-virginica
24.0,17.0,26.0,30.0,Iris-virginica
12.0,11.0,22.0,26.0,Iris-virginica
31.0,11.0,31.0,26.0,Iris-virginica
18.0,10.0,22.0,23.0,Iris-virginica
22.0,18.0,26.0,27.0,Iris-virginica
26.0,17.0,28.0,23.0,Iris-virginica
17.0,11.0,21.0,23.0,Iris-virginica
17.0,14.0,22.0,23.0,Iris-virginica
19.0,11.0,25.0,27.0,Iris-virginica
26.0,14.0,27.0,21.0,Iris-virginica
28.0,11.0,28.0,25.0,Iris-virginica
32.0,24.0,30.0,26.0,Iris-virginica
19.0,11.0,25.0,29.0,Iris-virginica
18.0,11.0,23.0,19.0,Iris-virginica
17.0,9.0,25.0,18.0,Iris-virginica
31.0,14.0,28.0,30.0,Iris-virginica
18.0,19.0,25.0,31.0,Iris-virginica
19.0,15.0,25.0,23.0,Iris-virginica
16.0,14.0,21.0,23.0,Iris-virginica
24.0,15.0,24.0,27.0,Iris-virginica
22.0,15.0,25.0,31.0,Iris-virginica
24.0,15.0,23.0,30.0,Iris-virginica
14.0,10.0,23.0,25.0,Iris-virginica
23.0,17.0,27.0,30.0,Iris-virginica
22.0,18.0,26.0,32.0,Iris-virginica
22.0,14.0,23.0,30.0,Iris-virginica
18.0,7.0,22.0,25.0,Iris-virginica
20.0,14.0,23.0,26.0,Iris-virginica
17.0,19.0,24.0,30.0,Iris-virginica
15.0,14.0,23.0,23.0,Iris-virginica
